"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","External Voltage","Rear Roll","Rear Heave","Front Heave","Front Roll","InlineAcc","VerticalAcc","RollRate","PitchRate","YawRate","GPS LateralAcc","GPS InlineAcc","GPS Yaw Rate","D4 Gate Driver B","D4 RTD3 Temperat","D3 RTD2 Temperat","D2 RTD1 Temperat","D1 Control Board","D4 Torque Shudde","D3 Motor Tempera","D2 RTD5 Temperat","D1 RTD4 Temperat","D4 Delta Resolve","D3 Electrical Ou","D2 Motor Speed","D1 Motor Angle E","D4 DC Bus Curren","D1 Phase A Curre","D3 Phase C Curre","D2 Phase B Curre","D4 VBC Vq Voltag","D3 VAB Vd Voltag","D2 Output Voltag","D1 DC Bus Voltag","D4 Iq","D3 Id","D2 Flux Feedback","D1 Flux Command","D4 Reference Vol","D3 Reference Vol","D2 Reference Vol","D1 Reference Vol","D7 Direction Com","D6 Inverter Enab","D3 Relay 1 Statu","D3 Relay 3 Statu","D3 Relay 4 Statu","D5 Inverter Comm","D3 Relay 2 Statu","D4 Inverter Run","D2 Inverter Stat","D1 VSM State","D6 Inverter E 01","D4 Inverter Disc","D3 Relay 5 Statu","D6 Start Mode Ac","D3 Relay 6 Statu","D7 BMS Active","D7 BMS Torque Li","D7 Max Speed Lim","D7 Low Speed Lim","D5 Rolling Count","D1 PWM Frequency","D4 Run Fault Hi","D2 Post Fault Hi","D3 Run Fault Lo","D1 Post Fault Lo","D3 Power On Time","D1 Commanded Tor","D2 Torque Feedba","D4 Iq Command","Fast Torque Comm","Fast Torque Feed","Fast Motor Speed","Fast DC Bus Volt","Speed Mode Enabl","Speed Command","Torque Command","Torque Limit Com","D3 Data Command","D1 Parameter  01","SEG1OV","SEG1UV","PEC ERROR","SEG1OT","SEG1UT","SEG2OV","SEG2UT","SEG2OT","SEG2UV","SEG3OV","SEG3UV","SEG3OT","SEG3UT","SEG4OV","SEG4UV","SEG4OT","SEG4UT","SEG5OV","SEG5UV","SEG5OT","SEG5UT","SEG6OV","SEG6UV","SEG6OT","SEG6UT","PACKOC","IMD Fault","D1 HV Input Curr","D2 14V Master Fa","D3 HV Input Curr","D4 DTC Status","D6 14V Monitor","D8 14V Current M","BrakeSensor1","BrakeSensor2","Temperature","APPS1","APPS2","Max Voltage","Min Voltage","Max Voltage Location","Avg Voltage","Min Voltage Location","Max Temperature","Min Temperature Location","Min Temperature","Avg Temperature","Max Temperature Location","Pack Voltage","Pack Current"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","V","mm","mm","mm","mm","g","g","deg/s","deg/s","deg/s","g","g","deg/s","#","#","#","#","°C","#","°C","#","#","#","#","rpm","mm","#","#","#","#","#","#","mV","mV","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","Nm","Nm","#","Nm","#","rpm","#","#","km/h","Nm","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","bar","bar","°C","%","%","mV","mV","#","mV","#","°C","#","°C","°C","#","mV","A"

"42.300","0.0882","16","0.0000","0.0000","15.7514","-143.5987","0.0000","329.7556","32.0000","0.2235","10000.0000","40.86295411","-77.83395752","10.7500","12.9016","33.0187","35.3438","0.0345","0.1088","-1.0049","-0.1378","-0.3359","-0.6017","0.0000","0.0000","0.0000","35.1282","-1000.0000","206.3000","204.9000","33.7709","0.0000","37.4748","-1000.0000","-1000.0000","131.2479","0.0000","0.7604","16.1844","0.0000","-0.0833","-4.2594","0.1365","0.9250","-0.8250","1.2250","392.9500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","146.7810","0.0000","-0.2000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0606","0.4688","42.0000","-1.3204","-2.5301","4.0712","4.0638","65.0000","4.0666","37.0000","29.8900","56.0000","25.4545","16.6400","26.0000","70.6017","0.2990"
"42.350","0.0882","16","0.0000","0.0000","15.7514","-143.5987","0.0000","329.7413","32.0000","0.2285","10000.0000","40.86295417","-77.83395749","10.7507","12.9281","33.0312","35.3438","0.0464","0.1077","-1.0049","-0.1431","-0.3351","-0.5833","0.0000","0.0000","0.0000","35.1767","-1000.0000","206.3000","204.9000","33.7223","0.0000","37.7660","-1000.0000","-1000.0000","131.3521","0.0000","0.2396","15.7156","0.0000","-0.9167","-5.0406","-0.4365","0.9771","-0.8771","1.2771","393.0542","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","146.8310","0.0000","-0.6167","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0894","0.4688","42.0000","-1.4460","-2.4862","4.0712","4.0638","65.0000","4.0666","37.0000","29.8900","56.0000","25.4550","16.6400","26.0000","70.6051","0.3000"
"42.400","0.0751","16","0.0000","0.0000","22.5313","-73.1503","0.0000","329.7459","31.9650","0.2195","10000.0000","40.86295424","-77.83395752","10.7473","12.9297","32.9688","35.3438","0.0406","0.1080","-1.0039","-0.1444","-0.3049","-0.6366","0.0000","0.0000","0.0000","35.2257","-1000.0000","206.3000","204.9000","33.7000","0.0000","37.9535","-1000.0000","-1000.0000","131.3719","-0.0281","0.0000","15.3313","0.0000","-0.9344","-5.1469","-0.5312","0.9423","-0.8711","1.2711","393.1000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","146.8810","0.0000","-0.5667","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.1032","0.4688","42.0000","-1.5590","-2.2838","4.0712","4.0638","65.0000","4.0666","37.0000","29.8900","56.0000","25.4555","16.6400","26.0000","70.6086","0.3010"
"42.450","0.0565","16","0.0000","0.0000","32.2168","27.4902","0.0000","329.7586","31.9150","0.2045","10000.0000","40.86295432","-77.83395760","10.7440","12.9312","32.9688","35.3375","0.0368","0.1081","-1.0044","-0.1485","-0.2688","-0.6625","0.0000","0.0000","0.0000","35.2752","-1000.0000","206.3000","204.9000","33.7000","0.0000","38.0525","-1000.0000","-1000.0000","131.3198","-0.0802","0.0000","15.0188","0.0000","-0.2573","-4.6781","-0.2188","0.8392","-0.8196","1.2196","393.1000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","146.9310","0.0000","-0.1500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.1032","0.4688","42.0000","-1.6721","-2.0814","4.0712","4.0638","65.0000","4.0666","37.0000","29.8900","56.0000","25.4560","16.6400","26.0000","70.6121","0.3020"
"42.500","0.1291","16","0.0000","0.0000","29.1531","39.2469","0.0000","329.7736","31.8650","0.2070","10000.0000","40.86295442","-77.83395767","10.7440","12.9156","32.9938","35.2938","0.0387","0.1085","-1.0039","-0.1611","-0.2068","-0.6259","0.0000","0.0000","0.0000","35.2757","-1000.0000","206.3000","204.9000","33.7000","0.0000","38.1252","-1000.0000","-1000.0000","131.3646","-0.0677","0.0000","14.9323","0.0000","-0.0646","-4.2094","-0.0354","0.7677","-0.7677","1.1354","393.0031","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","146.9810","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.1355","0.4861","42.0000","-1.7852","-1.8790","4.0712","4.0638","65.0000","4.0666","37.0000","29.8900","56.0000","25.4565","16.6400","26.0000","70.6156","0.3030"
"42.550","0.2407","16","0.0000","0.0000","20.6255","12.9105","0.0000","329.7896","31.8150","0.2170","10000.0000","40.86295454","-77.83395774","10.7440","12.9250","33.0000","35.3125","0.0604","0.1089","-1.0044","-0.1458","-0.2241","-0.6077","0.0000","0.0000","0.0000","35.2272","-1000.0000","206.3000","204.9000","33.7000","0.0000","38.1738","-1000.0000","-1000.0000","131.4688","-0.0156","0.0000","14.9844","0.0000","-0.1688","-3.7406","0.0688","0.7156","-0.7156","1.0312","392.8469","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","147.0310","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.1893","0.5148","42.0000","-1.8983","-1.6767","4.0712","4.0638","65.0000","4.0666","37.0000","29.8900","56.0000","25.4570","16.6400","26.0000","70.6191","0.3040"
"42.600","0.2579","16","0.0000","0.0000","19.7101","4.7068","0.0000","329.8007","31.7650","0.2200","10000.0000","40.86295464","-77.83395780","10.7440","12.9781","32.9750","35.3750","0.0121","0.1089","-1.0049","-0.1456","-0.2684","-0.6317","0.0000","0.0000","0.0000","35.2000","-1000.0000","206.3000","204.9000","33.7000","0.0000","38.1317","-1000.0000","-1000.0000","131.5729","0.0000","0.0000","14.9635","0.0000","-0.1271","-3.2719","0.1000","0.6632","-0.6632","0.9632","392.8000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","147.0810","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.1700","0.4874","42.0000","-1.7927","-1.4307","4.0712","4.0638","65.0000","4.0666","37.0000","29.8900","56.0000","25.4575","16.6400","26.0000","70.6226","0.3050"
"42.650","0.2347","16","0.0000","0.0000","22.0572","4.2742","0.0000","329.8097","31.7150","0.2200","10000.0000","40.86295475","-77.83395786","10.7440","12.8922","32.9875","35.3438","0.0526","0.1086","-1.0049","-0.1413","-0.2650","-0.6529","0.0000","0.0000","0.0000","35.2000","-1000.0000","206.3000","204.9000","33.7000","0.0000","37.9832","-1000.0000","-1000.0000","131.6771","0.0000","0.0000","14.9115","0.0000","-0.0229","-2.8031","0.1000","0.6105","-0.6105","0.9105","392.8000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","147.1310","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.1161","0.4335","42.0000","-1.6020","-1.1678","4.0712","4.0638","65.0000","4.0666","37.0000","29.8900","56.0000","25.4580","16.6400","26.0000","70.6261","0.3060"
"42.700","0.1951","16","0.0000","0.0000","23.4761","-21.0150","0.0000","329.8044","31.6650","0.2165","10000.0000","40.86295481","-77.83395790","10.7440","12.9078","32.9813","35.3500","0.0471","0.1085","-1.0049","-0.1392","-0.2585","-0.6614","0.0000","0.0000","0.0000","35.2000","-1000.0000","206.3000","204.9000","33.7000","0.0000","38.0282","-1000.0000","-1000.0000","131.7406","0.0000","0.0000","14.9813","0.0000","0.2438","-2.9437","0.2219","0.6417","-0.6417","0.9833","393.1750","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","147.1810","0.0000","0.1667","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.1032","0.4611","42.0000","-1.1954","-1.1482","4.0712","4.0638","65.0000","4.0666","37.0000","29.8900","56.0000","25.4585","16.6400","26.0000","70.6295","0.3070"
"42.750","0.1486","16","0.0000","0.0000","24.4971","-56.9572","0.0000","329.7929","31.6150","0.2115","10000.0000","40.86295484","-77.83395793","10.7440","12.9000","32.9875","35.3438","0.0444","0.1086","-1.0049","-0.1690","-0.2789","-0.6650","0.0000","0.0000","0.0000","35.2000","-1000.0000","206.3000","204.9000","33.7000","0.0000","38.3194","-1000.0000","-1000.0000","131.7927","0.0000","0.0000","15.0854","0.0000","0.5563","-3.2562","0.3781","0.6937","-0.6937","1.0875","393.6438","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","147.2310","0.0000","0.3750","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.1032","0.5144","42.0000","-0.7280","-1.1971","4.0712","4.0638","65.0000","4.0666","37.0000","29.8900","56.0000","25.4590","16.6400","26.0000","70.6330","0.3080"
"42.800","0.1184","16","0.0000","0.0000","38.6272","-27.8579","0.0000","329.7979","31.5650","0.1925","10000.0000","40.86295491","-77.83395803","10.7440","12.9109","33.0000","35.3438","0.0553","0.1086","-1.0039","-0.1556","-0.2523","-0.6606","0.0000","0.0000","0.0000","35.2000","-1000.0000","206.3000","204.9000","33.7000","0.0000","38.4436","-1000.0000","-1000.0000","131.7104","0.0000","0.0000","15.3688","0.0000","-0.1167","-3.5687","-0.4958","0.7000","-0.7000","1.0542","393.3792","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","147.2810","0.0000","-0.1500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.1032","0.5004","42.0000","-1.4520","-2.3703","4.0712","4.0638","65.0000","4.0666","37.0000","29.8900","56.0000","25.4595","16.6400","26.0000","70.6365","0.3090"
"42.850","0.0952","16","0.0000","0.0000","58.3754","29.1162","0.0000","329.8098","31.5150","0.1675","10000.0000","40.86295499","-77.83395816","10.7467","12.9312","32.9938","35.3438","0.0551","0.1082","-1.0049","-0.1447","-0.2498","-0.6510","0.0000","0.0000","0.0000","35.2000","-1000.0000","206.3000","204.9000","33.7000","0.0000","38.2951","-1000.0000","-1000.0000","131.6063","0.0000","0.0000","15.6812","0.0000","-0.9500","-3.8813","-1.5375","0.7000","-0.7000","1.0021","393.0146","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","147.3310","0.0000","-0.7750","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.1032","0.4717","42.0000","-2.2520","-3.6153","4.0712","4.0638","65.0000","4.0666","37.0000","29.8900","56.0000","25.4600","16.6400","26.0000","70.6400","0.3100"
"42.900","0.0855","16","0.0000","0.0000","65.0069","25.2853","0.0000","329.8130","31.4650","0.1670","10000.0000","40.86295506","-77.83395819","10.7500","12.9234","33.0187","35.3438","0.0420","0.1080","-1.0039","-0.1395","-0.2654","-0.6288","0.0000","0.0000","0.0000","35.2000","-1000.0000","206.3000","204.9000","33.7000","0.0000","38.1301","-1000.0000","-1000.0000","131.6000","0.0000","0.0000","15.5042","0.0000","-0.7552","-3.4594","-1.0125","0.7495","-0.7000","1.0495","393.0495","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","147.3810","0.0000","-0.5500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0791","0.4688","42.0000","-1.4481","-2.5493","4.0712","4.0638","65.0000","4.0666","37.0000","29.8900","56.0000","25.4600","16.6400","26.0000","70.6393","0.3095"
"42.950","0.0817","16","0.0000","0.0000","66.0169","-4.6048","0.0000","329.8126","31.4150","0.1770","10000.0000","40.86295512","-77.83395817","10.7520","12.9156","33.0000","35.3375","0.0522","0.1083","-1.0039","-0.1398","-0.2526","-0.6381","0.0000","0.0000","0.0000","35.2000","-1000.0000","206.3000","204.9000","33.7000","0.0000","37.9359","-1000.0000","-1000.0000","131.5979","-0.0010","0.0000","15.3000","0.0000","-0.4854","-2.9906","-0.3917","0.7979","-0.6990","1.0969","393.1010","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","147.4310","0.0000","-0.2812","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0523","0.4688","42.0000","-0.5817","-1.3682","4.0712","4.0638","65.0000","4.0666","37.0000","29.8900","56.0000","25.4600","16.6400","26.0000","70.6385","0.3090"
"43.000","0.1539","16","0.0000","0.0000","46.6879","-50.5774","0.0000","329.8088","31.3650","0.1940","10000.0000","40.86295517","-77.83395824","10.7520","12.9078","32.9562","35.3688","0.0536","0.1089","-1.0039","-0.1524","-0.2459","-0.6564","0.0000","0.0000","0.0000","35.2139","-1000.0000","206.3000","204.9000","33.7149","0.0000","37.8148","-1000.0000","-1000.0000","131.4938","-0.0531","0.0000","15.3000","0.0000","0.2438","-2.5219","0.0250","0.6938","-0.6469","0.9406","393.1531","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","147.4810","0.0000","0.1875","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9814","0.3356","42.0000","-1.6668","-1.7778","4.0712","4.0638","65.0000","4.0666","37.0000","29.8900","56.0000","25.4600","16.6400","26.0000","70.6378","0.3085"
"43.050","0.2588","16","0.0000","0.0000","18.6423","-103.4425","0.0000","329.8035","31.3150","0.2140","10000.0000","40.86295521","-77.83395835","10.7520","12.9187","32.9875","35.3500","0.0456","0.1084","-1.0039","-0.1652","-0.2401","-0.6696","0.0000","0.0000","0.0000","35.2634","-1000.0000","206.3000","204.9000","33.7644","0.0000","37.8644","-1000.0000","-1000.0000","131.4104","-0.0948","0.0000","15.3052","0.0000","0.8427","-2.1938","0.3583","0.6053","-0.6000","0.8105","393.1842","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","147.5310","0.0000","0.5563","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9021","0.1771","42.0000","-2.5160","-2.0761","4.0712","4.0638","65.0000","4.0666","37.0000","29.8900","56.0000","25.4600","16.6400","26.0000","70.6370","0.3080"
